銘柄コード,銘柄名,市場名,日経225採用銘柄
1301,(株)極洋,東証1部,
1332,日本水産(株),東証1部,1
1333,マルハニチロ(株),東証1部,1
1352,(株)ホウスイ,東証1部,
1376,カネコ種苗(株),東証1部,
1377,(株)サカタのタネ,東証1部,
1379,ホクト(株),東証1部,
1380,(株)秋川牧園,東証JQS,
1381,(株)アクシーズ,東証JQS,
1382,(株)ホーブ,東証JQS,
1383,ベルグアース(株),東証JQS,
1384,(株)ホクリヨウ,東証1部,
1400,ルーデン・ホールディングス(株),東証JQG,
1401,(株)エムビーエス,マザーズ,
1407,(株)ウエストホールディングス,東証JQS,
1408,サムシングホールディングス(株),東証JQG,
1413,(株)桧家ホールディングス,東証2部,
1414,ショーボンドホールディングス(株),東証1部,
1417,(株)ミライト・ホールディングス,東証1部,
1418,インターライフホールディングス(株),東証JQS,
1419,タマホーム(株),東証1部,
1420,サンヨーホームズ(株),東証1部,
1429,(株)日本アクア,マザーズ,
1430,ファーストコーポレーション(株),東証1部,
1431,(株)エスケーホーム,福岡Q,
1433,ベステラ(株),マザーズ,
1434,ＪＥＳＣＯホールディングス(株),東証2部,
1435,(株)インベスターズクラウド,東証1部,
1436,(株)フィット,マザーズ,
1438,(株)岐阜造園,名証2部,
1439,(株)安江工務店,東証JQS,
1491,中外鉱業(株),東証2部,
1514,住石ホールディングス(株),東証1部,
1515,日鉄鉱業(株),東証1部,
1518,三井松島産業(株),東証1部,
1605,国際石油開発帝石(株),東証1部,1
1606,日本海洋掘削(株),東証1部,
1662,石油資源開発(株),東証1部,
1663,Ｋ＆Ｏエナジーグループ(株),東証1部,
1711,(株)省電舎ホールディングス,東証2部,
1712,(株)ダイセキ環境ソリューション,東証1部,
1716,第一カッター興業(株),東証JQS,
1717,明豊ファシリティワークス(株),東証JQS,
1718,美樹工業(株),東証JQS,
1719,安藤ハザマ,東証1部,
1720,東急建設(株),東証1部,
1721,コムシスホールディングス(株),東証1部,1
1722,ミサワホーム(株),東証1部,
1723,日本電技(株),東証JQS,
1724,シンクレイヤ(株),東証JQS,
1726,(株)ビーアールホールディングス,東証1部,
1728,ミサワホーム中国(株),東証JQS,
1730,麻生フオームクリート(株),東証JQS,
1734,(株)北弘電社,札証,
1736,(株)オーテック,東証JQS,
1737,三井金属エンジニアリング(株),東証2部,
1738,(株)ＮＩＴＴＯＨ,名証2部,
1739,シード平和(株),東証JQG,
1743,コーアツ工業(株),東証2部,
1757,クレアホールディングス(株),東証2部,
1758,太洋基礎工業(株),東証JQS,
1762,(株)高松コンストラクショングループ,東証1部,
1764,工藤建設(株),東証2部,
1766,東建コーポレーション(株),東証1部,
1768,(株)ソネック,東証1部,
1770,藤田エンジニアリング(株),東証JQS,
1771,日本乾溜工業(株),福証,
1773,ＹＴＬ,東証外国,
1775,富士古河Ｅ＆Ｃ(株),東証2部,
1776,三井住建道路(株),東証2部,
1777,川崎設備工業(株),名証2部,
1780,(株)ヤマウラ,東証1部,
1782,常磐開発(株),東証JQS,
1783,(株)アジアゲートホールディングス,東証JQS,
1787,(株)ナカボーテック,東証JQS,
1788,(株)三東工業社,東証JQS,
1789,山加電業(株),東証JQS,
1793,(株)大本組,東証JQS,
1795,(株)マサル,東証JQS,
1798,(株)守谷商会,東証JQS,
1799,第一建設工業(株),東証JQS,
1801,大成建設(株),東証1部,1
1802,(株)大林組,東証1部,1
1803,清水建設(株),東証1部,1
1805,飛島建設(株),東証1部,
1807,(株)佐藤渡辺,東証JQS,
1808,(株)長谷工コーポレーション,東証1部,1
1810,松井建設(株),東証1部,
1811,(株)錢高組,東証1部,
1812,鹿島,東証1部,1
1813,(株)不動テトラ,東証1部,
1814,大末建設(株),東証1部,
1815,鉄建建設(株),東証1部,
1820,西松建設(株),東証1部,
1821,三井住友建設(株),東証1部,
1822,大豊建設(株),東証1部,
1824,前田建設工業(株),東証1部,
1826,佐田建設(株),東証1部,
1827,(株)ナカノフドー建設,東証1部,
1828,田辺工業(株),東証2部,
1832,北海電気工事(株),札証,
1833,(株)奥村組,東証1部,
1835,東鉄工業(株),東証1部,
1840,(株)土屋ホールディングス,東証2部,
1841,サンユー建設(株),東証JQS,
1844,(株)大盛工業,東証2部,
1846,鈴縫工業(株),東証2部,
1847,(株)イチケン,東証1部,
1848,(株)富士ピー・エス,東証2部,
1850,南海辰村建設(株),東証2部,
1852,(株)淺沼組,東証1部,
1853,(株)森組,東証2部,
1860,戸田建設(株),東証1部,
1861,(株)熊谷組,東証1部,
1865,青木あすなろ建設(株),東証1部,
1866,北野建設(株),東証1部,
1867,(株)植木組,東証1部,
1868,三井ホーム(株),東証1部,
1869,名工建設(株),名証2部,
1870,矢作建設工業(株),東証1部,
1871,(株)ピーエス三菱,東証1部,
1873,(株)日本ハウスホールディングス,東証1部,
1878,大東建託(株),東証1部,
1879,新日本建設(株),東証1部,
1881,(株)ＮＩＰＰＯ,東証1部,
1882,東亜道路工業(株),東証1部,
1883,前田道路(株),東証1部,
1884,日本道路(株),東証1部,
1885,東亜建設工業(株),東証1部,
1888,若築建設(株),東証1部,
1890,東洋建設(株),東証1部,
1892,徳倉建設(株),名証2部,
1893,五洋建設(株),東証1部,
1896,大林道路(株),東証1部,
1897,金下建設(株),東証2部,
1898,世紀東急工業(株),東証1部,
1899,(株)福田組,東証1部,
1904,大成温調(株),東証JQS,
1905,(株)テノックス,東証JQS,
1906,(株)細田工務店,東証JQS,
1909,日本ドライケミカル(株),東証1部,
1911,住友林業(株),東証1部,
1914,日本基礎技術(株),東証1部,
1916,日成ビルド工業(株),東証1部,
1919,(株)ヤマダ・エスバイエルホーム,東証1部,
1921,(株)巴コーポレーション,東証1部,
1924,パナホーム(株),東証1部,
1925,大和ハウス工業(株),東証1部,1
1926,ライト工業(株),東証1部,
1928,積水ハウス(株),東証1部,1
1929,日特建設(株),東証1部,
1930,北陸電気工事(株),東証1部,
1931,日本電通(株),東証2部,
1933,(株)ＳＹＳＫＥＮ,東証2部,
